acc,dice,MIoU,epoch,step,val_loss,val_acc,val_dice,val_MIoU,train_loss,train_acc,train_dice,train_MIoU
0.8866851329803467,0.6055150032043457,0.4342212378978729,0,49,,,,,,,,
0.8963536024093628,0.7116096019744873,0.5523244738578796,0,99,,,,,,,,
0.9370366334915161,0.7592333555221558,0.6119065880775452,0,149,,,,,,,,
0.9384691119194031,0.7609859108924866,0.6141866445541382,0,199,,,,,,,,
0.9366330504417419,0.7192432284355164,0.561576783657074,0,249,,,,,,,,
0.9432746767997742,0.8281340599060059,0.7066798806190491,0,299,,,,,,,,
0.921781599521637,0.7530526518821716,0.6039170026779175,0,349,,,,,,,,
,,,0,357,0.42567455768585205,0.9242947101593018,0.6533339023590088,0.48514917492866516,,,,
,,,0,357,,,,,0.3857361376285553,0.9059509634971619,0.6831490993499756,0.5187748074531555
0.9277443289756775,0.748589277267456,0.598196268081665,1,399,,,,,,,,
0.938692033290863,0.80731600522995,0.6768901348114014,1,449,,,,,,,,
0.9467923045158386,0.7765782475471497,0.634759247303009,1,499,,,,,,,,
0.9270729422569275,0.6970636248588562,0.53499436378479,1,549,,,,,,,,
0.9377790093421936,0.7638739347457886,0.6179579496383667,1,599,,,,,,,,
0.9379334449768066,0.773463785648346,0.6306082010269165,1,649,,,,,,,,
0.9407772421836853,0.819717526435852,0.6945095658302307,1,699,,,,,,,,
,,,1,715,0.3330819606781006,0.9586651921272278,0.7650365829467773,0.6194811463356018,,,,
,,,1,715,,,,,0.28692498803138733,0.9396467804908752,0.7819058299064636,0.6419091820716858
0.9430081248283386,0.8047571182250977,0.6733000874519348,2,749,,,,,,,,
0.9457957744598389,0.8170058727264404,0.6906254887580872,2,799,,,,,,,,
0.9628881216049194,0.8043806552886963,0.6727731823921204,2,849,,,,,,,,
0.9565417170524597,0.8527051210403442,0.7432309985160828,2,899,,,,,,,,
0.9658066034317017,0.8409421443939209,0.7255393862724304,2,949,,,,,,,,
0.9562278389930725,0.8468501567840576,0.7343799471855164,2,999,,,,,,,,
0.9337806105613708,0.71173095703125,0.5524707436561584,2,1049,,,,,,,,
,,,2,1073,0.30311185121536255,0.9529718160629272,0.7784687876701355,0.63728928565979,,,,
,,,2,1073,,,,,0.26022759079933167,0.9469383358955383,0.8064961433410645,0.6757381558418274
0.9586567878723145,0.8690716028213501,0.7684586048126221,3,1099,,,,,,,,
0.9583055377006531,0.8562051057815552,0.7485653162002563,3,1149,,,,,,,,
0.9527774453163147,0.8088710308074951,0.6790793538093567,3,1199,,,,,,,,
0.9590117931365967,0.8105082511901855,0.6813904047012329,3,1249,,,,,,,,
0.9598363637924194,0.8747348785400391,0.777358889579773,3,1299,,,,,,,,
0.9712773561477661,0.8564241528511047,0.7489001750946045,3,1349,,,,,,,,
0.9410873651504517,0.786080002784729,0.6475550532341003,3,1399,,,,,,,,
,,,3,1431,0.26600098609924316,0.9660683274269104,0.8134598731994629,0.6855729818344116,,,,
,,,3,1431,,,,,0.2406376302242279,0.9521569609642029,0.8238641023635864,0.7004837989807129
0.9513686895370483,0.8033505082130432,0.6713331937789917,4,1449,,,,,,,,
0.9594153761863708,0.8484586477279663,0.7368025779724121,4,1499,,,,,,,,
0.9428761005401611,0.7330337166786194,0.578574001789093,4,1549,,,,,,,,
0.9518221020698547,0.8440516591072083,0.730181097984314,4,1599,,,,,,,,
0.9567310810089111,0.8435235023498535,0.7293909788131714,4,1649,,,,,,,,
0.9463575482368469,0.7183287143707275,0.5604625344276428,4,1699,,,,,,,,
0.940409779548645,0.7136974930763245,0.5548442602157593,4,1749,,,,,,,,
,,,4,1789,0.27045688033103943,0.9603105783462524,0.8036208748817444,0.6717108488082886,,,,
,,,4,1789,,,,,0.23688797652721405,0.953410267829895,0.828167200088501,0.7067281007766724
0.9443321824073792,0.8072059750556946,0.6767354607582092,5,1799,,,,,,,,
0.928800642490387,0.8109338283538818,0.6819921731948853,5,1849,,,,,,,,
0.9461931586265564,0.7813751101493835,0.6411941051483154,5,1899,,,,,,,,
0.9468134641647339,0.7323399782180786,0.5777100920677185,5,1949,,,,,,,,
0.9642732739448547,0.8458238840103149,0.7328377962112427,5,1999,,,,,,,,
0.9665589332580566,0.8899961113929749,0.801795482635498,5,2049,,,,,,,,
0.9651950001716614,0.8562713265419006,0.748666524887085,5,2099,,,,,,,,
,,,5,2147,0.2573762536048889,0.9635011553764343,0.81817626953125,0.6922997236251831,,,,
,,,5,2147,,,,,0.2256680727005005,0.9566493630409241,0.839093029499054,0.7227909564971924
0.9465917348861694,0.8258257508277893,0.7033246755599976,6,2149,,,,,,,,
0.9569453001022339,0.8789423108100891,0.784029483795166,6,2199,,,,,,,,
0.9636728763580322,0.8320858478546143,0.712454617023468,6,2249,,,,,,,,
0.9393833875656128,0.7945886850357056,0.6591846346855164,6,2299,,,,,,,,
0.9648512005805969,0.8763669729232788,0.7799405455589294,6,2349,,,,,,,,
0.9637974500656128,0.8607752323150635,0.7555798292160034,6,2399,,,,,,,,
0.9470663070678711,0.860947847366333,0.7558459043502808,6,2449,,,,,,,,
0.9631123542785645,0.8285830020904541,0.7073339223861694,6,2499,,,,,,,,
,,,6,2505,0.24910348653793335,0.9690248966217041,0.8298463225364685,0.7091771960258484,,,,
,,,6,2505,,,,,0.2191951721906662,0.9584341049194336,0.8452888131141663,0.7320349216461182
0.9581161737442017,0.8578482270240784,0.7510808110237122,7,2549,,,,,,,,
0.9612339735031128,0.8142679929733276,0.6867217421531677,7,2599,,,,,,,,
0.9648873209953308,0.8361571431159973,0.7184450626373291,7,2649,,,,,,,,
0.9612737894058228,0.8585442304611206,0.752148449420929,7,2699,,,,,,,,
0.9573252201080322,0.8124158382415771,0.6840911507606506,7,2749,,,,,,,,
0.9627947211265564,0.8454217314720154,0.7322342395782471,7,2799,,,,,,,,
0.9553110599517822,0.8554774522781372,0.7474535703659058,7,2849,,,,,,,,
,,,7,2863,0.23199398815631866,0.9692724943161011,0.8421793580055237,0.7273832559585571,,,,
,,,7,2863,,,,,0.21443641185760498,0.9594090580940247,0.8488790392875671,0.737436830997467
0.9719861149787903,0.8838842511177063,0.7919288277626038,8,2899,,,,,,,,
0.9585608839988708,0.8111339211463928,0.6822752952575684,8,2949,,,,,,,,
0.9636815786361694,0.876878559589386,0.7807513475418091,8,2999,,,,,,,,
0.9618542790412903,0.877617597579956,0.7819238305091858,8,3049,,,,,,,,
0.9608553051948547,0.8553224205970764,0.7472168803215027,8,3099,,,,,,,,
0.9519952535629272,0.8180586695671082,0.6921313405036926,8,3149,,,,,,,,
0.9633489847183228,0.8725836873054504,0.7739675641059875,8,3199,,,,,,,,
,,,8,3221,0.2530360221862793,0.965921938419342,0.8247272372245789,0.7017326354980469,,,,
,,,8,3221,,,,,0.21540994942188263,0.9594127535820007,0.8488214612007141,0.7373498678207397
0.9527887105941772,0.859453558921814,0.7535454630851746,9,3249,,,,,,,,
0.9582681655883789,0.8732152581214905,0.7749618887901306,9,3299,,,,,,,,
0.9625792503356934,0.8288868069648743,0.7077768445014954,9,3349,,,,,,,,
0.9607207775115967,0.8609121441841125,0.7557908296585083,9,3399,,,,,,,,
0.9655188918113708,0.8785845041275024,0.7834603190422058,9,3449,,,,,,,,
0.9638223648071289,0.8657979965209961,0.7633543014526367,9,3499,,,,,,,,
0.965604841709137,0.8937663435935974,0.8079363107681274,9,3549,,,,,,,,
,,,9,3579,0.2469964474439621,0.9636457562446594,0.8233814239501953,0.6997861862182617,,,,
,,,9,3579,,,,,0.2095804065465927,0.9609495401382446,0.8541184067726135,0.7453809976577759
0.9648312926292419,0.8656330108642578,0.7630978226661682,10,3599,,,,,,,,
0.9760442972183228,0.8565097451210022,0.7490310668945312,10,3649,,,,,,,,
0.9560397267341614,0.7796288728713989,0.638845682144165,10,3699,,,,,,,,
0.9647303819656372,0.8815832138061523,0.7882420420646667,10,3749,,,,,,,,
0.968403697013855,0.8697188496589661,0.7694712281227112,10,3799,,,,,,,,
0.9611641764640808,0.8316922783851624,0.711877703666687,10,3849,,,,,,,,
0.9730685353279114,0.8659968972206116,0.7636635899543762,10,3899,,,,,,,,
,,,10,3937,0.23605677485466003,0.9687347412109375,0.8397963047027588,0.7238352298736572,,,,
,,,10,3937,,,,,0.2057001292705536,0.9615393280982971,0.8565387725830078,0.7490754127502441
0.9495488405227661,0.8394273519515991,0.7232872247695923,11,3949,,,,,,,,
0.9567074179649353,0.772922694683075,0.6298891305923462,11,3999,,,,,,,,
0.9645261168479919,0.8690735101699829,0.7684615254402161,11,4049,,,,,,,,
0.9619837999343872,0.811823308467865,0.6832513213157654,11,4099,,,,,,,,
0.9657642841339111,0.864586591720581,0.7614728808403015,11,4149,,,,,,,,
0.9399625658988953,0.8289195895195007,0.7078246474266052,11,4199,,,,,,,,
0.952168345451355,0.8206847310066223,0.6958993673324585,11,4249,,,,,,,,
,,,11,4295,0.24548983573913574,0.9693587422370911,0.8359047770500183,0.7180725336074829,,,,
,,,11,4295,,,,,0.2022264152765274,0.9626336693763733,0.8601945638656616,0.7546854615211487
0.9682505130767822,0.8852782249450684,0.7941696643829346,12,4299,,,,,,,,
0.95574951171875,0.8203494548797607,0.6954173445701599,12,4349,,,,,,,,
0.9698187112808228,0.8659266829490662,0.7635543942451477,12,4399,,,,,,,,
0.9751549363136292,0.8598411679267883,0.754141628742218,12,4449,,,,,,,,
0.9614506959915161,0.8684306740760803,0.7674568891525269,12,4499,,,,,,,,
0.9724631905555725,0.8658954501152039,0.7635058760643005,12,4549,,,,,,,,
0.9561306834220886,0.8452653288841248,0.7319996356964111,12,4599,,,,,,,,
0.9652659893035889,0.8482837080955505,0.7365387678146362,12,4649,,,,,,,,
,,,12,4653,0.23286432027816772,0.9718115925788879,0.844714343547821,0.7311735153198242,,,,
,,,12,4653,,,,,0.19593682885169983,0.9638217091560364,0.8647175431251526,0.7616761922836304
0.9626327753067017,0.8531497716903687,0.7439069151878357,13,4699,,,,,,,,
0.9641237854957581,0.8575301170349121,0.7505931854248047,13,4749,,,,,,,,
0.9697937965393066,0.8648332357406616,0.7618556618690491,13,4799,,,,,,,,
0.9528111219406128,0.8465240597724915,0.733889639377594,13,4849,,,,,,,,
0.9576752185821533,0.7927111387252808,0.6566043496131897,13,4899,,,,,,,,
0.9651975035667419,0.8540062308311462,0.7452101707458496,13,4949,,,,,,,,
0.9639095664024353,0.9028181433677673,0.822851836681366,13,4999,,,,,,,,
,,,13,5011,0.2348562479019165,0.9694860577583313,0.8409599661827087,0.7255659103393555,,,,
,,,13,5011,,,,,0.19653409719467163,0.9638221263885498,0.8646034598350525,0.7614990472793579
0.9724693894386292,0.8829243779182434,0.7903891205787659,14,5049,,,,,,,,
0.96124267578125,0.8642624020576477,0.7609701156616211,14,5099,,,,,,,,
0.9699607491493225,0.86915522813797,0.7685893177986145,14,5149,,,,,,,,
0.969694197177887,0.8783986568450928,0.7831647396087646,14,5199,,,,,,,,
0.9566737413406372,0.845686674118042,0.7326318025588989,14,5249,,,,,,,,
0.9659810066223145,0.8453519344329834,0.7321295738220215,14,5299,,,,,,,,
0.9596943855285645,0.873006284236908,0.7746327519416809,14,5349,,,,,,,,
,,,14,5369,0.2232484370470047,0.9719594120979309,0.8504130840301514,0.7397553324699402,,,,
,,,14,5369,,,,,0.19439157843589783,0.9643200635910034,0.8662660121917725,0.7640823721885681
0.9662537574768066,0.8853811621665955,0.7943353652954102,15,5399,,,,,,,,
0.9505565166473389,0.8302558064460754,0.7097755074501038,15,5449,,,,,,,,
0.9710133075714111,0.9024190902709961,0.8221890926361084,15,5499,,,,,,,,
0.9684423208236694,0.8747237324714661,0.7773413062095642,15,5549,,,,,,,,
0.9627523422241211,0.8503735065460205,0.7396954894065857,15,5599,,,,,,,,
0.96832275390625,0.8634965419769287,0.7597835063934326,15,5649,,,,,,,,
